OZLotto Result Sample Size: 613
selected: OZLottoDraw{nums=9, 23, 25*, 28, 31, 32*, 35, division=0}
selected: OZLottoDraw{nums=3, 19*, 20, 23, 25*, 26, 28, division=0}
selected: OZLottoDraw{nums=6, 14, 19, 20, 25*, 39, 40, division=0}
selected: OZLottoDraw{nums=1, 3, 20, 28, 31, 35, 40, division=0}
selected: OZLottoDraw{nums=1*, 9, 15, 16, 33*, 34, 37, division=0}
selected: OZLottoDraw{nums=3, 4, 12, 19, 22, 29, 37*, division=0}
selected: OZLottoDraw{nums=3*, 3*, 13, 17, 20, 21, 31, division=0}
selected: OZLottoDraw{nums=9, 17, 18, 30, 31, 42*, 45, division=0}
selected: OZLottoDraw{nums=2, 4, 9, 25, 27, 27, 37*, division=0}
selected: OZLottoDraw{nums=2, 8, 14, 19, 34, 38, 40, division=0}
selected: OZLottoDraw{nums=6, 7, 11*, 15, 31, 41, 42, division=0}
selected: OZLottoDraw{nums=5*, 8, 25, 30*, 31*, 33, 40*, division=2}
selected: OZLottoDraw{nums=11, 19, 25*, 27, 28, 37, 39, division=0}
selected: OZLottoDraw{nums=5*, 17, 23, 25, 27, 36, 44, division=0}
selected: OZLottoDraw{nums=1*, 5, 6, 11, 23, 25*, 31, division=0}
selected: OZLottoDraw{nums=4, 9, 12, 16, 28, 36, 37, division=0}
selected: OZLottoDraw{nums=5, 7, 14*, 20, 27, 31, 35, division=0}
selected: OZLottoDraw{nums=6*, 23, 24, 26, 37*, 39, 44*, division=0}
selected: OZLottoDraw{nums=3, 11, 13, 23, 34*, 43, 44*, division=0}
selected: OZLottoDraw{nums=7, 11, 18, 21, 22, 40, 43*, division=0}
selected: OZLottoDraw{nums=6, 11, 12, 14, 15, 31*, 45, division=0}
selected: OZLottoDraw{nums=5, 11, 16, 24*, 37, 40, 45, division=0}
selected: OZLottoDraw{nums=10*, 14, 16, 21, 25*, 25*, 34*, division=0}
selected: OZLottoDraw{nums=13*, 14, 17, 25, 37, 38, 42, division=0}
selected: OZLottoDraw{nums=2*, 5*, 11, 19*, 24, 26, 45, division=0}
selected: OZLottoDraw{nums=16, 18, 28, 31, 36, 38, 43, division=0}
selected: OZLottoDraw{nums=3, 8, 14, 18, 20, 38, 43, division=0}
selected: OZLottoDraw{nums=16, 18*, 21*, 22*, 25, 32, 36*, division=2}
selected: OZLottoDraw{nums=2, 9, 11, 17, 19, 21, 27*, division=0}
selected: OZLottoDraw{nums=1*, 10, 11, 18, 19, 26, 42, division=0}
selected: OZLottoDraw{nums=2*, 6, 7, 11, 27, 37*, 43, division=0}
selected: OZLottoDraw{nums=1*, 11, 18, 32*, 34, 37*, 44, division=0}
selected: OZLottoDraw{nums=7, 11, 14, 23, 26*, 34, 37, division=0}
selected: OZLottoDraw{nums=10, 26, 27, 31, 37*, 39, 45, division=0}
selected: OZLottoDraw{nums=9, 11, 17, 19, 28, 42*, 43*, division=0}
selected: OZLottoDraw{nums=2, 6, 9, 22*, 25*, 42*, 44, division=0}
selected: OZLottoDraw{nums=3, 17, 19*, 21, 25, 27, 34, division=0}
selected: OZLottoDraw{nums=17, 18*, 21, 28, 37, 43, 45, division=0}
selected: OZLottoDraw{nums=20*, 23, 25, 32, 37, 42, 44*, division=0}
selected: OZLottoDraw{nums=1, 12, 15, 22, 23, 26, 37, division=0}
selected: OZLottoDraw{nums=1, 8, 9, 10, 16, 25*, 35, division=0}
selected: OZLottoDraw{nums=8, 15*, 19, 23*, 27, 27, 39, division=0}
selected: OZLottoDraw{nums=8*, 9, 11, 17, 19, 23, 41, division=0}
selected: OZLottoDraw{nums=1, 5, 20*, 21, 25*, 41, 44*, division=0}
selected: OZLottoDraw{nums=4, 5*, 6, 38, 41, 42*, 43, division=0}
selected: OZLottoDraw{nums=7, 13*, 14, 18, 20, 25, 31, division=0}
selected: OZLottoDraw{nums=2*, 7, 24, 27, 31*, 33, 43*, division=0}
selected: OZLottoDraw{nums=10, 11*, 22, 36, 37, 41, 43, division=0}
