
SeparateNumTrainingResult{totalMatch=15, totalDiff=1356, totalSize=100, a=-83, b=54, c=52, distance=80, thisNumIndex=1, thatNumIndex=1}
SeparateNumTrainingResult{totalMatch=15, totalDiff=1356, totalSize=100, a=-83, b=99, c=52, distance=80, thisNumIndex=1, thatNumIndex=1}
SeparateNumTrainingResult{totalMatch=15, totalDiff=1356, totalSize=100, a=-31, b=54, c=52, distance=80, thisNumIndex=1, thatNumIndex=1}
SeparateNumTrainingResult{totalMatch=15, totalDiff=1356, totalSize=100, a=-31, b=99, c=52, distance=80, thisNumIndex=1, thatNumIndex=1}
SeparateNumTrainingResult{totalMatch=15, totalDiff=1356, totalSize=100, a=21, b=2, c=52, distance=80, thisNumIndex=1, thatNumIndex=1}
SeparateNumTrainingResult{totalMatch=15, totalDiff=1356, totalSize=100, a=21, b=47, c=52, distance=80, thisNumIndex=1, thatNumIndex=1}
SeparateNumTrainingResult{totalMatch=15, totalDiff=1356, totalSize=100, a=21, b=92, c=52, distance=80, thisNumIndex=1, thatNumIndex=1}
SeparateNumTrainingResult{totalMatch=15, totalDiff=1356, totalSize=100, a=73, b=2, c=52, distance=80, thisNumIndex=1, thatNumIndex=1}
SeparateNumTrainingResult{totalMatch=15, totalDiff=1356, totalSize=100, a=73, b=47, c=52, distance=80, thisNumIndex=1, thatNumIndex=1}
SeparateNumTrainingResult{totalMatch=15, totalDiff=1356, totalSize=100, a=73, b=92, c=52, distance=80, thisNumIndex=1, thatNumIndex=1}
SeparateNumTrainingResult{totalMatch=15, totalDiff=1174, totalSize=100, a=-70, b=24, c=67, distance=20, thisNumIndex=1, thatNumIndex=2}
SeparateNumTrainingResult{totalMatch=15, totalDiff=1174, totalSize=100, a=-64, b=43, c=67, distance=20, thisNumIndex=1, thatNumIndex=2}
SeparateNumTrainingResult{totalMatch=15, totalDiff=1174, totalSize=100, a=-3, b=24, c=67, distance=20, thisNumIndex=1, thatNumIndex=2}

20,31,37,10,44,17,8,14,1,36,43,28,15,41,13,26,45,19,22,9,21,6,18,4,27,25,35,16,38,39,29,40,2,12,32,11,30,23,42,5,33,7,34,3,24,
SeparateNumTrainingResult{totalMatch=17, totalDiff=1045, totalSize=100, a=-79, b=38, c=23, distance=49, thisNumIndex=2, thatNumIndex=1}
SeparateNumTrainingResult{totalMatch=17, totalDiff=1045, totalSize=100, a=-79, b=83, c=23, distance=49, thisNumIndex=2, thatNumIndex=1}
SeparateNumTrainingResult{totalMatch=17, totalDiff=1045, totalSize=100, a=-56, b=38, c=23, distance=49, thisNumIndex=2, thatNumIndex=1}
SeparateNumTrainingResult{totalMatch=17, totalDiff=1045, totalSize=100, a=-56, b=83, c=23, distance=49, thisNumIndex=2, thatNumIndex=1}
SeparateNumTrainingResult{totalMatch=17, totalDiff=1045, totalSize=100, a=-33, b=38, c=23, distance=49, thisNumIndex=2, thatNumIndex=1}
SeparateNumTrainingResult{totalMatch=17, totalDiff=1045, totalSize=100, a=-33, b=83, c=23, distance=49, thisNumIndex=2, thatNumIndex=1}
SeparateNumTrainingResult{totalMatch=17, totalDiff=1045, totalSize=100, a=-10, b=38, c=23, distance=49, thisNumIndex=2, thatNumIndex=1}
SeparateNumTrainingResult{totalMatch=17, totalDiff=1045, totalSize=100, a=-10, b=83, c=23, distance=49, thisNumIndex=2, thatNumIndex=1}
SeparateNumTrainingResult{totalMatch=17, totalDiff=1069, totalSize=100, a=13, b=15, c=23, distance=49, thisNumIndex=2, thatNumIndex=1}
SeparateNumTrainingResult{totalMatch=17, totalDiff=1069, totalSize=100, a=13, b=60, c=23, distance=49, thisNumIndex=2, thatNumIndex=1}
SeparateNumTrainingResult{totalMatch=17, totalDiff=1069, totalSize=100, a=36, b=15, c=23, distance=49, thisNumIndex=2, thatNumIndex=1}
SeparateNumTrainingResult{totalMatch=17, totalDiff=1069, totalSize=100, a=36, b=60, c=23, distance=49, thisNumIndex=2, thatNumIndex=1}
SeparateNumTrainingResult{totalMatch=17, totalDiff=1069, totalSize=100, a=59, b=15, c=23, distance=49, thisNumIndex=2, thatNumIndex=1}
SeparateNumTrainingResult{totalMatch=17, totalDiff=1069, totalSize=100, a=59, b=60, c=23, distance=49, thisNumIndex=2, thatNumIndex=1}
SeparateNumTrainingResult{totalMatch=17, totalDiff=1069, totalSize=100, a=82, b=15, c=23, distance=49, thisNumIndex=2, thatNumIndex=1}
SeparateNumTrainingResult{totalMatch=17, totalDiff=1069, totalSize=100, a=82, b=60, c=23, distance=49, thisNumIndex=2, thatNumIndex=1}


SeparateNumTrainingResult{totalMatch=15, totalDiff=1178, totalSize=100, a=-72, b=42, c=30, distance=35, thisNumIndex=3, thatNumIndex=7}
SeparateNumTrainingResult{totalMatch=15, totalDiff=1178, totalSize=100, a=-72, b=87, c=30, distance=35, thisNumIndex=3, thatNumIndex=7}
SeparateNumTrainingResult{totalMatch=15, totalDiff=1178, totalSize=100, a=-42, b=42, c=30, distance=35, thisNumIndex=3, thatNumIndex=7}
SeparateNumTrainingResult{totalMatch=15, totalDiff=1178, totalSize=100, a=-42, b=87, c=30, distance=35, thisNumIndex=3, thatNumIndex=7}
SeparateNumTrainingResult{totalMatch=15, totalDiff=1178, totalSize=100, a=-12, b=42, c=30, distance=35, thisNumIndex=3, thatNumIndex=7}
SeparateNumTrainingResult{totalMatch=15, totalDiff=1178, totalSize=100, a=-12, b=87, c=30, distance=35, thisNumIndex=3, thatNumIndex=7}
SeparateNumTrainingResult{totalMatch=16, totalDiff=1363, totalSize=100, a=-67, b=56, c=88, distance=73, thisNumIndex=3, thatNumIndex=7}
SeparateNumTrainingResult{totalMatch=16, totalDiff=1363, totalSize=100, a=-21, b=32, c=88, distance=73, thisNumIndex=3, thatNumIndex=7}

37, 39, 30, 6, 24, 3, 45, 44, 4, 21, 29, 13, 18, 9, 11, 27, 16, 15, 5, 14, 32, 20, 42, 41, 22, 2, 26, 12, 33, 10, 8, 36, 23, 35, 1, 40, 43, 38, 25, 34, 28, 31, 19, 7, 17};
SeparateNumTrainingResult{totalMatch=15, totalDiff=1556, totalSize=100, a=-63, b=57, c=50, distance=28, thisNumIndex=4, thatNumIndex=5}
SeparateNumTrainingResult{totalMatch=15, totalDiff=1556, totalSize=100, a=-13, b=57, c=50, distance=28, thisNumIndex=4, thatNumIndex=5}
SeparateNumTrainingResult{totalMatch=15, totalDiff=1556, totalSize=100, a=37, b=7, c=50, distance=28, thisNumIndex=4, thatNumIndex=5}
SeparateNumTrainingResult{totalMatch=15, totalDiff=1556, totalSize=100, a=37, b=52, c=50, distance=28, thisNumIndex=4, thatNumIndex=5}
SeparateNumTrainingResult{totalMatch=15, totalDiff=1556, totalSize=100, a=37, b=97, c=50, distance=28, thisNumIndex=4, thatNumIndex=5}
SeparateNumTrainingResult{totalMatch=15, totalDiff=1556, totalSize=100, a=87, b=7, c=50, distance=28, thisNumIndex=4, thatNumIndex=5}
SeparateNumTrainingResult{totalMatch=15, totalDiff=1556, totalSize=100, a=87, b=52, c=50, distance=28, thisNumIndex=4, thatNumIndex=5}
